name,identity,address,city,state,postal_code,latitude,longitude
Depot Real,Depot,"677 Saint-Catherine St W M22, Montreal, Quebec H3B 5K0",Montreal,QC,H3B 5K0,45.503302,-73.570982
Depot Real,Depot,"677 Saint-Catherine St W M22, Montreal, Quebec H3B 5K0",Montreal,QC,H3B 5K0,45.503302,-73.570982
"""Copie Nova""",Customer,"""1015 Rue Sherbrooke O""",Montreal,QC,H3A 1G5,45.502164,-73.5762891
"""Cafe Castel""",Customer,"""Best Western Ville-Marie Hotel & Suites, 1015 Rue Sherbrooke W""",Montreal,QC,H3A 1G5,45.5022486,-73.5768047
"""Zawedeh Lebanese Fine Dining""",Customer,"""1015 Rue Sherbrooke Ouest""",Montreal,QC,H3A 1G5,45.5022486,-73.5768047
"""Quesada Burritos & Tacos""",Customer,"""1001 Rue Sherbrooke Ouest""",Montreal,QC,H3A 1G5,45.50275677,-73.57620438
"""Alba""",Customer,"""1112 Rue Sherbrooke O""",Montreal,QC,H3A 1G6,45.501354,-73.576773
"""Club Athletique Sherbrooke""",Customer,"""1100 Sherbrooke Ouest, Suite 300""",Montreal,QC,H3A 1G7,45.5015953,-73.5765859
"""Super Sandwich""",Customer,"""1115 Rue Sherbrooke Ouest""",Montreal,QC,H3A 1H3,45.50182093,-73.57690796
"""Opiano""",Customer,"""1115 Rue Sherbrooke O""",Montreal,QC,H3A 1H3,45.5018212,-73.5769085
"""Le MajesThé""",Customer,"""439 Avenue du Président-Kennedy""",Montreal,QC,H3A 1J5,45.50687511,-73.57037846
"""Blatter & Blatter""",Customer,"""375 President Kennedy Avenue""",Montreal,QC,H3A 1J5,45.5071708,-73.5701721
"""Delta Hotels by Marriott Montreal""",Customer,"""475 Avenue du Président-Kennedy""",Montreal,QC,H3A 1J7,45.50640705,-73.57133836
"""Starbucks""",Customer,"""600 Avenue du Président-Kennedy""",Montreal,QC,H3A 1J9,45.5052166,-73.5715673
"""A&W""",Customer,"""655 Avenue du Président-Kennedy""",Montreal,QC,H3A 1K1,45.5047528,-73.5725866
"""La Prep""",Customer,"""395 Boulevard de Maisonneuve W""",Montreal,QC,H3A 1L6,45.5064781,-73.5699229
"""Nippon Sushi""",Customer,"""1104 De Maisonneuve Boulevard W""",Montreal,QC,H3A 1M7,45.5007517,-73.5748517
"""Campo""",Customer,"""1108 Boulevard de Maisonneuve O""",Montreal,QC,H3A 1M7,45.500593,-73.574691
"""Soubois""",Customer,"""1106 Boulevard de Maisonneuve Ouest""",Montreal,QC,H3A 1M7,45.5005568,-73.5746235
"""Nettoyeur Suzy""",Customer,"""1199 De-maisonneuve W""",Montreal,QC,H3A 1N4,45.5001203,-73.5757412
"""Wrapcity Gourmet""",Customer,"""1201 Boulevard de Maisonneuve O""",Montreal,QC,H3A 1N6,45.5000012,-73.5759399
"""Deville Dinerbar""",Customer,"""1425 Rue Stanley""",Montreal,QC,H3A 1P4,45.499686,-73.574147
"""Mbco""",Customer,"""1447 Rue Stanley""",Montreal,QC,H3A 1P4,45.499839,-73.5746536
"""YMCA""",Customer,"""1440 Rue Stanley""",Montreal,QC,H3A 1P7,45.4993984,-73.5749206
"""Subway""",Customer,"""1430 Rue Stanley""",Montreal,QC,H3A 1P7,45.4995257,-73.5745618
"""Brigade Pizzeria Napolitaine""",Customer,"""1428 Rue Stanley""",Montreal,QC,H3A 1P7,45.4996843,-73.5743949
"""Marche Cosmopolitain""",Customer,"""1432 Stanley Rue""",Montreal,QC,H3A 1P7,45.4995304,-73.5745585
"""Anton & James""",Customer,"""1414 Rue Stanley""",Montreal,QC,H3A 1P7,45.49941032,-73.57405988
"""Firegrill Steakhouse & Bar""",Customer,"""1490 Rue Stanley""",Montreal,QC,H3A 1P7,45.5000119,-73.5751515
"""Frank + Oak""",Customer,"""1420 Rue Stanley""",Montreal,QC,H3A 1P7,45.499549,-73.574326
"""La Capannina""",Customer,"""2022 Rue Stanley""",Montreal,QC,H3A 1R6,45.50022,-73.575782
"""Au Pain Doré""",Customer,"""1455 Rue Peel""",Montreal,QC,H3A 1S4,45.5003956,-73.573469
"""Barbie Expo""",Customer,"""Cours Mont-Royal, 1455 Rue Peel""",Montreal,QC,H3A 1S5,45.5009023,-73.573669
"""Starbucks""",Customer,"""1455 Rue Peel""",Montreal,QC,H3A 1S5,45.5002739,-73.5734243
"""Yoko""",Customer,"""1455 Rue Peel, Suite 103""",Montreal,QC,H3A 1S5,45.5012066,-73.5740306
"""Alexandre et Fils""",Customer,"""1454 Rue Peel""",Montreal,QC,H3A 1S8,45.5005139,-73.5742423
"""Ferreira""",Customer,"""1446 Rue Peel""",Montreal,QC,H3A 1S8,45.5003193,-73.5741694
"""Carlos & Pepes""",Customer,"""1420 Rue Peel""",Montreal,QC,H3A 1S8,45.5001559,-73.5736636
"""Ryú""",Customer,"""1468 Rue Peel""",Montreal,QC,H3A 1S8,45.500548,-73.57432
"""Café Vasco Da Gama""",Customer,"""1472 Rue Peel""",Montreal,QC,H3A 1S8,45.5006345,-73.5745293
"""Enso Yoga""",Customer,"""1470 Rue Peel, Tower B, Unit 100""",Montreal,QC,H3A 1T1,45.50066759,-73.57466767
"""Art's Hair Coiffure""",Customer,"""1470 Rue Peel, Local 352""",Montreal,QC,H3A 1T1,45.50053,-73.57449
"""Salon Pure""",Customer,"""1455 Rue Peel, Local 403""",Montreal,QC,H3A 1T5,45.5009023,-73.573669
"""Les Cours Mont-Royal""",Customer,"""1455 Rue Peel""",Montreal,QC,H3A 1T5,45.5009023,-73.573669
"""U Green T""",Customer,"""1455 Rue Peel, Suite 116""",Montreal,QC,H3A 1T5,45.501023,-73.573092
"""Mat & Max Coiffure""",Customer,"""Les Cours Mont-Royal, 1455 rue Peel, Ste 104""",Montreal,QC,H3A 1T5,45.5009023,-73.573669
"""Takara""",Customer,"""1455 Rue Peel""",Montreal,QC,H3A 1T5,45.5009023,-73.573669
"""Spa Diva""",Customer,"""1455 Rue Peel""",Montreal,QC,H3A 1T5,45.5002828,-73.5734207
"""Pizzéria N° 900 Peel""",Customer,"""2049 Rue Peel""",Montreal,QC,H3A 1T6,45.5014124,-73.5754872
"""Residence Inn by Marriott Montreal Downtown""",Customer,"""2045 Rue Peel""",Montreal,QC,H3A 1T6,45.501465,-73.57542
"""L'Orchidée de Chine""",Customer,"""2017 Rue Peel""",Montreal,QC,H3A 1T6,45.501227,-73.57495
"""M4 Burritos Peel""",Customer,"""2053 Rue Peel""",Montreal,QC,H3A 1T6,45.50131981,-73.57521237
"""Atti Restaurant""",Customer,"""2077 Rue University""",Montreal,QC,H3A 1T9,45.5047528,-73.5725866
"""Spa Viva""",Customer,"""2085 Union Avenue""",Montreal,QC,H3A 1T9,45.5050441,-73.5720066
"""Sushi Inbox""",Customer,"""2045 Avenue Union""",Montreal,QC,H3A 1T9,45.5049992,-73.5719117
"""Best Western Ville-Marie Montreal Hotel & Suites""",Customer,"""3407 Peel Street""",Montreal,QC,H3A 1W7,45.502181,-73.576738
"""Sofitel""",Customer,"""Rue Peel 3430""",Montreal,QC,H3A 1W8,45.5022614,-73.5773691
"""Restaurant MKT""",Customer,"""2044 Rue Metcalfe""",Montreal,QC,H3A 1X8,45.5018608,-73.5750709
"""Cheap Thrills""",Customer,"""2044 Rue Metcalfe""",Montreal,QC,H3A 1X8,45.5018608,-73.5750709
