,Airline_Mentioned,Attribute_Mentioned
0,['delta_airline'],['comfort']
1,['delta_airline'],"['check-in_boarding', 'customer_service', 'monetary_values']"
2,['delta_airline'],['check-in_boarding']
3,['delta_airline'],"['check-in_boarding', 'monetary_values']"
4,['delta_airline'],"['comfort', 'check-in_boarding', 'monetary_values']"
5,['delta_airline'],"['cleanliness', 'customer_service', 'check-in_boarding', 'comfort']"
6,['delta_airline'],['customer_service']
7,['delta_airline'],"['check-in_boarding', 'customer_service']"
8,['delta_airline'],"['check-in_boarding', 'monetary_values', 'customer_service']"
9,['delta_airline'],"['monetary_values', 'check-in_boarding']"
10,['delta_airline'],"['check-in_boarding', 'food_beverage', 'in-flight_entertainment', 'comfort', 'monetary_values']"
11,['delta_airline'],"['monetary_values', 'comfort']"
12,['delta_airline'],"['check-in_boarding', 'customer_service']"
13,['delta_airline'],"['customer_service', 'monetary_values', 'check-in_boarding']"
14,['delta_airline'],"['customer_service', 'monetary_values', 'comfort', 'check-in_boarding']"
15,['delta_airline'],"['customer_service', 'check-in_boarding', 'monetary_values']"
16,['delta_airline'],['customer_service']
17,['delta_airline'],"['monetary_values', 'customer_service']"
18,['delta_airline'],"['monetary_values', 'check-in_boarding', 'customer_service']"
19,['delta_airline'],"['check-in_boarding', 'customer_service', 'monetary_values']"
20,['delta_airline'],"['monetary_values', 'check-in_boarding']"
21,['delta_airline'],"['check-in_boarding', 'monetary_values', 'customer_service']"
22,"['delta_airline', 'american_airline']","['customer_service', 'check-in_boarding']"
23,['delta_airline'],"['monetary_values', 'comfort']"
24,['delta_airline'],['in-flight_entertainment']
25,['delta_airline'],"['check-in_boarding', 'customer_service', 'in-flight_entertainment', 'comfort']"
26,['delta_airline'],"['check-in_boarding', 'customer_service', 'monetary_values', 'comfort']"
27,['delta_airline'],"['customer_service', 'check-in_boarding']"
28,['delta_airline'],['check-in_boarding']
29,['delta_airline'],['monetary_values']
30,['delta_airline'],"['check-in_boarding', 'monetary_values', 'customer_service']"
31,['delta_airline'],['customer_service']
32,['delta_airline'],"['monetary_values', 'customer_service', 'comfort', 'check-in_boarding']"
33,['delta_airline'],"['customer_service', 'check-in_boarding', 'monetary_values']"
34,['delta_airline'],"['check-in_boarding', 'customer_service']"
35,['delta_airline'],['check-in_boarding']
36,['delta_airline'],"['check-in_boarding', 'customer_service', 'monetary_values']"
37,['delta_airline'],['monetary_values']
38,['delta_airline'],"['check-in_boarding', 'monetary_values', 'customer_service']"
39,['delta_airline'],"['check-in_boarding', 'monetary_values']"
40,['delta_airline'],"['check-in_boarding', 'customer_service']"
41,['delta_airline'],"['check-in_boarding', 'customer_service', 'monetary_values']"
42,['delta_airline'],"['customer_service', 'check-in_boarding', 'monetary_values']"
43,['delta_airline'],"['monetary_values', 'check-in_boarding', 'customer_service']"
44,['delta_airline'],"['check-in_boarding', 'comfort']"
45,['delta_airline'],"['check-in_boarding', 'monetary_values']"
46,['delta_airline'],"['check-in_boarding', 'customer_service']"
47,['delta_airline'],"['check-in_boarding', 'customer_service']"
48,['delta_airline'],"['check-in_boarding', 'monetary_values', 'customer_service']"
49,['delta_airline'],"['check-in_boarding', 'customer_service', 'comfort']"
50,['delta_airline'],['check-in_boarding']
51,['delta_airline'],"['customer_service', 'comfort']"
52,['delta_airline'],"['check-in_boarding', 'customer_service']"
53,['delta_airline'],"['check-in_boarding', 'monetary_values']"
54,['delta_airline'],"['check-in_boarding', 'monetary_values']"
55,['delta_airline'],"['comfort', 'check-in_boarding']"
56,['delta_airline'],['check-in_boarding']
57,['delta_airline'],"['comfort', 'monetary_values', 'check-in_boarding']"
58,['delta_airline'],"['check-in_boarding', 'monetary_values', 'customer_service']"
59,['delta_airline'],"['check-in_boarding', 'monetary_values']"
61,['delta_airline'],"['check-in_boarding', 'customer_service']"
62,['delta_airline'],"['check-in_boarding', 'customer_service']"
63,['delta_airline'],"['check-in_boarding', 'customer_service', 'monetary_values']"
65,['delta_airline'],"['check-in_boarding', 'customer_service']"
66,['delta_airline'],"['monetary_values', 'check-in_boarding']"
67,['delta_airline'],"['customer_service', 'check-in_boarding', 'comfort']"
68,['delta_airline'],"['customer_service', 'comfort', 'monetary_values']"
69,['delta_airline'],['check-in_boarding']
71,['delta_airline'],"['check-in_boarding', 'customer_service']"
72,['delta_airline'],"['customer_service', 'cleanliness']"
73,['delta_airline'],['comfort']
74,['delta_airline'],"['customer_service', 'food_beverage', 'check-in_boarding', 'cleanliness', 'comfort']"
75,['delta_airline'],"['monetary_values', 'check-in_boarding']"
76,['delta_airline'],"['customer_service', 'food_beverage']"
77,['delta_airline'],"['customer_service', 'comfort', 'check-in_boarding']"
78,['delta_airline'],"['check-in_boarding', 'monetary_values']"
79,['delta_airline'],"['monetary_values', 'customer_service']"
80,"['delta_airline', 'american_airline']","['check-in_boarding', 'monetary_values', 'customer_service', 'comfort']"
81,['delta_airline'],"['customer_service', 'check-in_boarding', 'monetary_values']"
82,['delta_airline'],"['check-in_boarding', 'customer_service']"
83,['delta_airline'],"['monetary_values', 'customer_service', 'comfort', 'check-in_boarding']"
84,['delta_airline'],"['check-in_boarding', 'monetary_values']"
85,"['delta_airline', 'frontier_airline']","['monetary_values', 'check-in_boarding', 'comfort']"
86,['delta_airline'],"['monetary_values', 'comfort', 'customer_service', 'check-in_boarding']"
87,['delta_airline'],"['check-in_boarding', 'monetary_values', 'customer_service']"
88,['delta_airline'],"['check-in_boarding', 'customer_service', 'monetary_values', 'comfort']"
89,['delta_airline'],"['monetary_values', 'comfort', 'customer_service', 'check-in_boarding']"
90,['delta_airline'],['check-in_boarding']
91,['delta_airline'],"['comfort', 'check-in_boarding']"
92,['delta_airline'],"['customer_service', 'check-in_boarding']"
93,"['delta_airline', 'american_airline']","['customer_service', 'check-in_boarding', 'monetary_values']"
94,['delta_airline'],"['monetary_values', 'customer_service', 'check-in_boarding']"
95,['delta_airline'],['monetary_values']
96,['delta_airline'],['customer_service']
97,['delta_airline'],['customer_service']
98,['delta_airline'],"['comfort', 'check-in_boarding', 'customer_service']"
99,['delta_airline'],"['check-in_boarding', 'monetary_values', 'customer_service']"
100,['delta_airline'],['check-in_boarding']
101,['delta_airline'],"['monetary_values', 'check-in_boarding', 'customer_service']"
102,['delta_airline'],"['monetary_values', 'check-in_boarding', 'customer_service']"
103,['delta_airline'],"['check-in_boarding', 'customer_service']"
104,['delta_airline'],"['in-flight_entertainment', 'check-in_boarding']"
105,['delta_airline'],"['monetary_values', 'customer_service', 'check-in_boarding']"
