,Airline,scores,compound,sent_type,Airline_Mentioned,Attribute_Mentioned,delta_airline,american_airline,united_airline,spirit_airline,air_canada,ryanair,frontier_airline,emirates_airline,southwest_airline,british_airway,comfort,in-flight_entertainment,customer_service,monetary_values,cleanliness,check-in_boarding,food_beverage
0,Delta_Airline,"{'neg': 0.036, 'neu': 0.889, 'pos': 0.074, 'compound': 0.323}",0.323,2,['delta_airline'],['comfort'],1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,Delta_Airline,"{'neg': 0.125, 'neu': 0.79, 'pos': 0.086, 'compound': -0.6641}",-0.6641,0,['delta_airline'],"['check-in_boarding', 'customer_service', 'monetary_values']",1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
2,Delta_Airline,"{'neg': 0.058, 'neu': 0.942, 'pos': 0.0, 'compound': -0.4767}",-0.4767,0,['delta_airline'],['check-in_boarding'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,Delta_Airline,"{'neg': 0.0, 'neu': 0.953, 'pos': 0.047, 'compound': 0.7804}",0.7804,2,['delta_airline'],"['check-in_boarding', 'monetary_values']",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
4,Delta_Airline,"{'neg': 0.062, 'neu': 0.894, 'pos': 0.044, 'compound': -0.5186}",-0.5186,0,['delta_airline'],"['comfort', 'check-in_boarding', 'monetary_values']",1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
5,Delta_Airline,"{'neg': 0.131, 'neu': 0.802, 'pos': 0.066, 'compound': -0.866}",-0.866,0,['delta_airline'],"['cleanliness', 'customer_service', 'check-in_boarding', 'comfort']",1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0
6,Delta_Airline,"{'neg': 0.237, 'neu': 0.589, 'pos': 0.174, 'compound': -0.5789}",-0.5789,0,['delta_airline'],['customer_service'],1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
7,Delta_Airline,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,1,['delta_airline'],"['check-in_boarding', 'customer_service']",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
8,Delta_Airline,"{'neg': 0.106, 'neu': 0.85, 'pos': 0.044, 'compound': -0.7346}",-0.7346,0,['delta_airline'],"['check-in_boarding', 'monetary_values', 'customer_service']",1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
9,Delta_Airline,"{'neg': 0.05, 'neu': 0.774, 'pos': 0.177, 'compound': 0.9377}",0.9377,2,['delta_airline'],"['monetary_values', 'check-in_boarding']",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
10,Delta_Airline,"{'neg': 0.046, 'neu': 0.779, 'pos': 0.176, 'compound': 0.9743}",0.9743,2,['delta_airline'],"['check-in_boarding', 'food_beverage', 'in-flight_entertainment', 'comfort', 'monetary_values']",1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1
11,Delta_Airline,"{'neg': 0.115, 'neu': 0.885, 'pos': 0.0, 'compound': -0.6652}",-0.6652,0,['delta_airline'],"['monetary_values', 'comfort']",1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
12,Delta_Airline,"{'neg': 0.021, 'neu': 0.931, 'pos': 0.048, 'compound': 0.3612}",0.3612,2,['delta_airline'],"['check-in_boarding', 'customer_service']",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
13,Delta_Airline,"{'neg': 0.078, 'neu': 0.922, 'pos': 0.0, 'compound': -0.5848}",-0.5848,0,['delta_airline'],"['customer_service', 'monetary_values', 'check-in_boarding']",1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
14,Delta_Airline,"{'neg': 0.0, 'neu': 0.925, 'pos': 0.075, 'compound': 0.7584}",0.7584,2,['delta_airline'],"['customer_service', 'monetary_values', 'comfort', 'check-in_boarding']",1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0
15,Delta_Airline,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,1,['delta_airline'],"['customer_service', 'check-in_boarding', 'monetary_values']",1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
16,Delta_Airline,"{'neg': 0.081, 'neu': 0.919, 'pos': 0.0, 'compound': -0.5122}",-0.5122,0,['delta_airline'],['customer_service'],1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
17,Delta_Airline,"{'neg': 0.177, 'neu': 0.766, 'pos': 0.057, 'compound': -0.844}",-0.844,0,['delta_airline'],"['monetary_values', 'customer_service']",1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
18,Delta_Airline,"{'neg': 0.143, 'neu': 0.806, 'pos': 0.052, 'compound': -0.9561}",-0.9561,0,['delta_airline'],"['monetary_values', 'check-in_boarding', 'customer_service']",1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
19,Delta_Airline,"{'neg': 0.031, 'neu': 0.906, 'pos': 0.062, 'compound': 0.5514}",0.5514,2,['delta_airline'],"['check-in_boarding', 'customer_service', 'monetary_values']",1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
20,Delta_Airline,"{'neg': 0.0, 'neu': 0.968, 'pos': 0.032, 'compound': 0.3239}",0.3239,2,['delta_airline'],"['monetary_values', 'check-in_boarding']",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
21,Delta_Airline,"{'neg': 0.0, 'neu': 0.727, 'pos': 0.273, 'compound': 0.9143}",0.9143,2,['delta_airline'],"['check-in_boarding', 'monetary_values', 'customer_service']",1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
