,Brand_Mentioned,Attribute_Mentioned
2,"['cadillac', 'toyota']",['performance']
4,"['cadillac', 'audi', 'bmw']","['purchase', 'performance', 'comfort', 'car parts']"
7,"['cadillac', 'bmw', 'audi']","['performance', 'purchase']"
9,"['bmw', 'cadillac']","['type', 'purchase']"
14,"['cadillac', 'lexus', 'bmw']",['performance']
15,['bmw'],['type']
16,['bmw'],"['type', 'car parts']"
29,['cadillac'],['performance']
34,"['cadillac', 'bmw', 'honda']","['performance', 'car parts', 'comfort']"
36,['cadillac'],['comfort']
37,"['cadillac', 'bmw', 'polestar', 'audi', 'infiniti']","['purchase', 'performance']"
39,"['bmw', 'cadillac']",['comfort']
40,"['audi', 'lexus', 'cadillac']",['comfort']
42,"['cadillac', 'bmw', 'infiniti']","['purchase', 'performance']"
44,"['bmw', 'audi', 'lexus', 'cadillac', 'infiniti', 'acura']",['comfort']
49,"['audi', 'bmw', 'cadillac']","['performance', 'comfort', 'car parts']"
50,"['bmw', 'cadillac', 'acura']","['purchase', 'performance', 'car parts']"
52,['cadillac'],"['car parts', 'performance', 'comfort']"
53,"['cadillac', 'bmw']","['performance', 'comfort']"
54,['bmw'],"['performance', 'comfort', 'car parts']"
61,['cadillac'],['performance']
65,['toyota'],['comfort']
66,['cadillac'],"['performance', 'purchase']"
67,"['bmw', 'cadillac', 'audi', 'infiniti']","['performance', 'purchase', 'type', 'comfort']"
70,['bmw'],"['purchase', 'comfort']"
71,"['cadillac', 'infiniti', 'bmw']","['performance', 'comfort']"
72,"['bmw', 'audi']",['purchase']
74,"['bmw', 'audi']",['purchase']
75,['cadillac'],['purchase']
76,['cadillac'],['purchase']
79,"['bmw', 'cadillac', 'audi']",['type']
85,"['audi', 'lexus']","['purchase', 'car parts']"
87,['audi'],['purchase']
88,"['cadillac', 'bmw', 'audi', 'infiniti', 'lexus']",['purchase']
89,"['infiniti', 'lexus']",['purchase']
90,"['audi', 'infiniti', 'lexus']","['purchase', 'type', 'performance', 'car parts']"
92,"['acura', 'nissan']","['performance', 'comfort', 'purchase', 'car parts']"
96,['bmw'],"['performance', 'comfort']"
97,['polestar'],['comfort']
99,['bmw'],['purchase']
100,['bmw'],"['type', 'car parts', 'performance', 'purchase']"
102,['bmw'],"['purchase', 'comfort']"
117,['polestar'],"['performance', 'car parts']"
125,['lexus'],['car parts']
126,['lexus'],"['car parts', 'purchase']"
131,['lexus'],['purchase']
132,"['cadillac', 'bmw']","['type', 'comfort', 'purchase', 'performance']"
134,"['bmw', 'cadillac']",['purchase']
137,['bmw'],['purchase']
144,['bmw'],['performance']
159,"['bmw', 'cadillac', 'infiniti']","['performance', 'type', 'car parts', 'comfort']"
160,"['toyota', 'bmw', 'infiniti']","['performance', 'type', 'car parts', 'purchase', 'comfort']"
162,"['bmw', 'honda', 'infiniti']",['purchase']
163,['bmw'],['purchase']
164,['audi'],['comfort']
167,['bmw'],['purchase']
169,"['bmw', 'polestar']",['purchase']
170,"['bmw', 'toyota']","['performance', 'purchase', 'type', 'car parts', 'comfort']"
173,['bmw'],"['type', 'purchase']"
176,['bmw'],['performance']
178,"['bmw', 'honda', 'lexus', 'toyota']","['performance', 'purchase']"
180,"['honda', 'bmw']",['purchase']
181,"['cadillac', 'bmw']",['purchase']
182,['bmw'],"['car parts', 'type', 'purchase']"
184,['bmw'],"['type', 'performance']"
185,['bmw'],"['purchase', 'performance']"
187,"['bmw', 'honda', 'toyota', 'lexus']","['car parts', 'performance', 'purchase', 'type']"
188,['bmw'],"['purchase', 'performance']"
189,['bmw'],"['purchase', 'performance']"
202,"['bmw', 'audi']","['performance', 'type', 'purchase']"
203,['bmw'],"['performance', 'purchase', 'comfort']"
206,['bmw'],"['performance', 'car parts', 'type']"
207,['bmw'],['performance']
209,['bmw'],['purchase']
210,['bmw'],"['performance', 'purchase']"
211,['bmw'],"['performance', 'comfort', 'type']"
212,['bmw'],"['purchase', 'performance']"
213,['bmw'],"['performance', 'purchase']"
214,['bmw'],"['purchase', 'performance', 'type']"
216,['bmw'],['purchase']
217,"['bmw', 'audi', 'infiniti']",['performance']
218,['bmw'],"['performance', 'type']"
220,"['honda', 'toyota']",['type']
221,"['cadillac', 'bmw']","['type', 'performance']"
239,"['polestar', 'infiniti']",['comfort']
251,"['audi', 'bmw', 'cadillac']","['purchase', 'comfort']"
252,['cadillac'],['purchase']
253,['lexus'],['purchase']
254,['bmw'],['purchase']
255,"['bmw', 'toyota', 'lexus']",['purchase']
256,"['lexus', 'bmw', 'infiniti', 'acura']","['type', 'purchase']"
257,"['lexus', 'infiniti', 'bmw', 'acura', 'pontiac', 'toyota']",['purchase']
259,['lexus'],['purchase']
260,"['lexus', 'infiniti']",['purchase']
261,"['infiniti', 'acura']","['performance', 'type', 'purchase']"
263,"['lexus', 'bmw']","['type', 'car parts', 'purchase']"
264,['bmw'],['purchase']
265,"['lexus', 'infiniti', 'toyota', 'bmw', 'acura']","['purchase', 'performance']"
266,"['nissan', 'bmw', 'audi']","['purchase', 'performance']"
273,"['audi', 'lexus']",['purchase']
274,['audi'],['comfort']
275,"['audi', 'lexus', 'bmw', 'polestar']","['comfort', 'performance', 'purchase', 'car parts']"
277,['audi'],['comfort']
279,['acura'],['purchase']
281,['audi'],"['comfort', 'car parts', 'purchase']"
284,"['acura', 'audi']","['comfort', 'type']"
285,['acura'],['comfort']
287,"['acura', 'bmw', 'polestar']","['type', 'performance', 'car parts']"
288,"['audi', 'bmw']",['car parts']
289,['audi'],"['car parts', 'performance']"
292,['audi'],['car parts']
295,['acura'],['purchase']
299,"['acura', 'lexus', 'audi']",['performance']
301,['polestar'],['performance']
304,['bmw'],['performance']
307,['infiniti'],['performance']
319,['lexus'],"['type', 'car parts']"
330,['acura'],"['purchase', 'performance', 'comfort']"
331,['audi'],['performance']
334,['lexus'],['performance']
337,"['audi', 'bmw', 'nissan']","['performance', 'comfort']"
340,"['bmw', 'lexus', 'audi']",['performance']
341,"['volvo', 'bmw', 'audi', 'toyota', 'honda']","['performance', 'type', 'comfort', 'purchase', 'car parts']"
344,['audi'],['type']
346,['nissan'],['purchase']
347,"['bmw', 'audi', 'lexus']","['purchase', 'performance']"
348,['honda'],"['performance', 'type']"
349,['bmw'],['performance']
350,['lexus'],"['performance', 'type', 'comfort']"
352,"['lexus', 'infiniti']",['purchase']
354,['polestar'],"['comfort', 'performance']"
355,"['bmw', 'audi', 'lexus']",['purchase']
361,"['lexus', 'bmw']",['comfort']
362,"['lexus', 'bmw']","['car parts', 'performance']"
363,['bmw'],"['purchase', 'type']"
364,['bmw'],['performance']
367,"['nissan', 'bmw', 'lexus']","['type', 'performance', 'purchase']"
369,['bmw'],['performance']
370,['bmw'],['performance']
371,"['bmw', 'acura']","['type', 'performance']"
373,['bmw'],"['purchase', 'comfort']"
375,['bmw'],"['comfort', 'purchase']"
378,['lexus'],['purchase']
379,['bmw'],['type']
381,['bmw'],"['purchase', 'performance']"
383,"['bmw', 'honda', 'audi', 'polestar']","['performance', 'car parts']"
384,"['polestar', 'bmw']",['performance']
385,['bmw'],['performance']
388,"['lexus', 'bmw']","['performance', 'comfort']"
395,['honda'],"['performance', 'type', 'purchase']"
404,['nissan'],"['type', 'performance', 'purchase']"
407,['lexus'],"['purchase', 'type']"
409,['infiniti'],"['performance', 'type']"
410,['honda'],"['type', 'performance', 'car parts', 'purchase']"
415,['honda'],['purchase']
416,['infiniti'],['performance']
422,"['bmw', 'audi']",['type']
424,"['bmw', 'audi']",['performance']
428,['bmw'],"['type', 'car parts']"
430,"['audi', 'lexus', 'nissan', 'bmw']","['purchase', 'type', 'car parts', 'performance']"
431,"['nissan', 'lexus']","['car parts', 'performance']"
433,"['audi', 'honda']","['purchase', 'performance', 'type', 'car parts', 'comfort']"
434,['bmw'],"['comfort', 'performance', 'type', 'car parts']"
435,['bmw'],['purchase']
438,['polestar'],"['performance', 'type', 'purchase']"
439,['bmw'],"['type', 'comfort']"
440,"['toyota', 'honda', 'acura', 'audi']",['purchase']
441,['acura'],['purchase']
445,"['acura', 'audi', 'honda', 'toyota']",['purchase']
446,['acura'],['type']
449,"['lexus', 'bmw']","['performance', 'type', 'purchase']"
452,['cadillac'],['performance']
455,['cadillac'],"['type', 'performance']"
458,['toyota'],['comfort']
462,['mercedes'],['performance']
468,['cadillac'],['type']
470,['cadillac'],"['type', 'performance']"
471,['cadillac'],['type']
474,"['bmw', 'lexus']","['performance', 'car parts', 'purchase', 'type', 'comfort']"
476,['bmw'],"['performance', 'type']"
480,['nissan'],"['car parts', 'performance']"
481,"['lexus', 'bmw']","['performance', 'type', 'comfort', 'purchase']"
484,"['honda', 'cadillac']","['type', 'comfort', 'performance']"
485,['bmw'],"['type', 'purchase']"
489,['bmw'],"['type', 'performance', 'purchase']"
490,['bmw'],"['type', 'performance']"
491,['bmw'],"['performance', 'car parts']"
492,['honda'],"['performance', 'type']"
494,['bmw'],"['performance', 'type']"
502,"['bmw', 'polestar']",['performance']
509,['polestar'],['performance']
511,['honda'],['performance']
513,['bmw'],"['purchase', 'performance']"
517,['bmw'],"['performance', 'purchase']"
519,['bmw'],"['purchase', 'performance']"
520,['polestar'],['purchase']
526,['polestar'],"['performance', 'purchase']"
538,['polestar'],['performance']
547,['bmw'],['performance']
548,['acura'],['purchase']
549,['polestar'],['performance']
553,['acura'],"['purchase', 'performance']"
563,"['acura', 'bmw']","['performance', 'type']"
565,['bmw'],"['type', 'car parts', 'performance']"
571,['bmw'],['car parts']
575,['bmw'],['performance']
576,"['bmw', 'audi']","['performance', 'type']"
580,['honda'],['performance']
595,['bmw'],"['purchase', 'performance']"
601,"['audi', 'honda']",['purchase']
604,['polestar'],"['performance', 'comfort']"
611,['acura'],['type']
615,"['bmw', 'audi', 'acura', 'nissan', 'honda', 'toyota']","['purchase', 'type', 'car parts', 'performance']"
616,"['audi', 'honda', 'bmw', 'cadillac']","['purchase', 'comfort', 'type']"
618,"['audi', 'cadillac']","['performance', 'comfort', 'purchase']"
620,['audi'],['purchase']
621,['toyota'],['purchase']
622,['bmw'],['type']
623,['audi'],['type']
627,"['audi', 'bmw', 'cadillac', 'infiniti']","['performance', 'purchase', 'car parts', 'type']"
628,['audi'],"['type', 'performance']"
629,['audi'],"['performance', 'type']"
630,['audi'],"['comfort', 'performance']"
631,"['polestar', 'bmw', 'acura']","['performance', 'purchase', 'type', 'car parts', 'comfort']"
632,['infiniti'],"['car parts', 'type']"
636,['lexus'],['comfort']
638,['bmw'],['comfort']
640,['bmw'],['type']
641,['polestar'],['comfort']
647,"['audi', 'lexus']","['purchase', 'performance', 'comfort']"
648,"['audi', 'lexus']","['performance', 'purchase']"
653,"['audi', 'lexus']",['comfort']
655,"['audi', 'polestar', 'honda']",['performance']
657,"['audi', 'acura', 'lexus']","['comfort', 'performance']"
659,['infiniti'],"['performance', 'purchase', 'type']"
660,['bmw'],"['performance', 'purchase', 'comfort']"
661,['bmw'],"['purchase', 'performance', 'car parts']"
665,"['audi', 'polestar', 'cadillac']","['performance', 'car parts']"
678,['bmw'],"['type', 'performance', 'purchase']"
680,"['polestar', 'bmw']","['type', 'car parts', 'performance']"
682,['acura'],['performance']
690,"['honda', 'infiniti', 'bmw', 'acura', 'audi']","['purchase', 'type', 'comfort', 'performance', 'car parts']"
691,"['bmw', 'audi', 'acura', 'polestar']","['comfort', 'purchase']"
692,"['acura', 'polestar', 'bmw']","['purchase', 'car parts', 'performance']"
693,"['bmw', 'acura']","['performance', 'purchase', 'safety']"
694,['bmw'],"['purchase', 'performance']"
696,"['bmw', 'audi', 'lexus', 'cadillac', 'acura']","['comfort', 'purchase']"
697,"['infiniti', 'acura', 'bmw']","['type', 'performance']"
698,['bmw'],['purchase']
699,['audi'],"['purchase', 'performance']"
700,"['honda', 'audi', 'bmw', 'acura']","['performance', 'purchase']"
701,['honda'],['purchase']
702,"['honda', 'bmw']","['purchase', 'car parts']"
704,"['bmw', 'audi']",['performance']
706,"['honda', 'bmw']",['performance']
709,"['toyota', 'lexus', 'infiniti', 'cadillac']","['purchase', 'type']"
710,"['toyota', 'honda']",['purchase']
712,"['infiniti', 'lexus']","['purchase', 'car parts']"
713,"['infiniti', 'lexus', 'acura']","['purchase', 'performance']"
714,"['lexus', 'infiniti']",['performance']
715,['lexus'],['performance']
717,"['infiniti', 'bmw', 'lexus']","['purchase', 'performance', 'car parts']"
718,"['lexus', 'bmw']","['purchase', 'performance']"
719,"['bmw', 'infiniti', 'lexus']","['purchase', 'performance']"
720,"['infiniti', 'lexus', 'bmw']",['purchase']
721,"['bmw', 'audi', 'lexus', 'toyota', 'acura', 'cadillac', 'infiniti', 'nissan', 'honda']",['purchase']
722,['polestar'],['performance']
723,"['infiniti', 'lexus', 'bmw', 'toyota']","['purchase', 'performance']"
728,"['bmw', 'audi', 'infiniti', 'polestar']",['purchase']
729,['toyota'],['purchase']
730,"['polestar', 'bmw', 'lexus', 'infiniti', 'cadillac', 'toyota', 'audi', 'acura']","['purchase', 'performance', 'type', 'car parts', 'comfort']"
732,"['toyota', 'infiniti', 'bmw', 'honda']",['purchase']
733,"['toyota', 'cadillac']","['car parts', 'performance', 'type', 'purchase']"
734,"['cadillac', 'toyota']",['car parts']
735,"['toyota', 'polestar']","['type', 'comfort', 'car parts', 'performance']"
736,['toyota'],"['performance', 'type']"
739,"['toyota', 'lexus']","['type', 'car parts']"
741,['bmw'],"['performance', 'comfort', 'purchase']"
742,"['toyota', 'lexus', 'nissan', 'infiniti']",['performance']
747,"['infiniti', 'acura']",['purchase']
749,"['lexus', 'bmw', 'acura', 'infiniti', 'audi', 'toyota', 'honda']","['performance', 'car parts', 'purchase']"
755,"['nissan', 'honda', 'toyota']","['type', 'car parts']"
756,"['toyota', 'bmw']",['purchase']
761,['bmw'],"['purchase', 'performance', 'comfort', 'type', 'car parts']"
766,['infiniti'],['car parts']
768,['bmw'],['purchase']
769,['bmw'],"['purchase', 'comfort']"
772,"['infiniti', 'acura', 'bmw']",['car parts']
774,['infiniti'],"['car parts', 'purchase']"
777,['polestar'],['performance']
779,"['nissan', 'honda', 'infiniti']",['performance']
782,"['audi', 'bmw']","['purchase', 'performance']"
785,['audi'],['purchase']
786,"['audi', 'bmw']","['performance', 'comfort']"
788,"['audi', 'lexus']","['car parts', 'performance', 'purchase']"
791,['audi'],"['performance', 'comfort']"
792,['audi'],['type']
794,"['audi', 'polestar']","['performance', 'comfort', 'purchase']"
800,"['polestar', 'bmw', 'audi']","['car parts', 'performance', 'type', 'comfort']"
803,"['audi', 'polestar', 'toyota', 'bmw']","['comfort', 'type', 'purchase', 'performance']"
804,"['bmw', 'polestar', 'audi']","['type', 'performance']"
805,"['lexus', 'toyota', 'audi', 'acura']","['comfort', 'purchase']"
806,['cadillac'],"['purchase', 'performance', 'type']"
809,"['cadillac', 'acura', 'bmw', 'audi']",['performance']
810,"['cadillac', 'bmw', 'audi', 'lexus', 'toyota', 'infiniti', 'acura', 'honda']","['car parts', 'performance', 'type', 'interior', 'purchase']"
812,"['bmw', 'audi', 'cadillac']",['purchase']
813,"['cadillac', 'lexus']","['type', 'purchase']"
814,['infiniti'],"['type', 'purchase', 'car parts']"
815,"['bmw', 'honda', 'lexus']","['purchase', 'car parts', 'comfort']"
816,"['acura', 'bmw']","['purchase', 'car parts', 'type']"
817,['bmw'],['purchase']
819,['bmw'],"['performance', 'purchase']"
821,['nissan'],"['performance', 'type', 'purchase']"
822,['nissan'],['performance']
823,['bmw'],"['performance', 'purchase', 'type']"
825,['audi'],"['type', 'purchase', 'car parts']"
826,"['nissan', 'toyota', 'honda', 'lexus']","['purchase', 'performance']"
827,['audi'],['purchase']
828,['polestar'],"['purchase', 'performance', 'comfort']"
831,['lexus'],"['car parts', 'performance', 'purchase']"
833,['bmw'],"['purchase', 'performance']"
835,"['lexus', 'bmw']","['performance', 'comfort']"
836,"['bmw', 'lexus']",['purchase']
837,['honda'],['performance']
839,['bmw'],"['performance', 'type', 'purchase']"
840,"['cadillac', 'nissan']","['performance', 'type']"
842,['nissan'],"['interior', 'performance']"
843,"['cadillac', 'polestar', 'bmw']","['car parts', 'performance']"
844,['nissan'],"['performance', 'type']"
848,['honda'],"['type', 'car parts']"
849,"['toyota', 'acura', 'nissan']",['performance']
853,"['bmw', 'audi']","['performance', 'purchase']"
858,"['nissan', 'bmw', 'audi', 'lexus', 'cadillac', 'infiniti']",['purchase']
859,['nissan'],"['car parts', 'type']"
860,['nissan'],['performance']
861,['nissan'],"['type', 'car parts', 'performance']"
865,"['nissan', 'toyota']",['type']
866,"['nissan', 'infiniti', 'toyota']","['type', 'comfort', 'performance', 'car parts', 'purchase']"
867,['nissan'],"['type', 'performance', 'car parts']"
868,['nissan'],"['type', 'performance', 'car parts']"
871,"['bmw', 'polestar']",['purchase']
872,"['honda', 'polestar', 'acura', 'bmw']",['comfort']
873,['bmw'],['purchase']
875,['bmw'],['purchase']
876,['polestar'],['purchase']
878,['bmw'],['purchase']
879,['bmw'],['purchase']
880,['audi'],['type']
881,"['acura', 'lexus', 'cadillac', 'audi']","['car parts', 'performance']"
884,['acura'],['type']
886,"['acura', 'bmw', 'audi']","['performance', 'purchase', 'comfort', 'car parts']"
888,"['acura', 'nissan']",['performance']
894,"['audi', 'infiniti']","['purchase', 'performance', 'comfort']"
897,['acura'],"['comfort', 'purchase', 'type']"
898,['audi'],"['purchase', 'performance', 'type', 'comfort']"
899,['audi'],['type']
901,['polestar'],"['performance', 'comfort', 'type', 'car parts']"
907,"['bmw', 'lexus']","['purchase', 'type']"
908,"['acura', 'bmw', 'infiniti', 'audi', 'lexus', 'honda']","['performance', 'purchase', 'type', 'comfort']"
909,"['acura', 'honda']","['comfort', 'performance']"
910,"['lexus', 'bmw']",['performance']
912,"['bmw', 'acura']","['type', 'performance']"
913,['bmw'],"['purchase', 'type']"
914,"['bmw', 'lexus']","['purchase', 'car parts']"
916,"['lexus', 'bmw', 'audi', 'cadillac', 'toyota']","['type', 'performance', 'purchase', 'comfort']"
917,['acura'],"['type', 'car parts']"
920,"['polestar', 'lexus', 'honda', 'infiniti', 'audi']","['performance', 'type', 'comfort', 'purchase']"
926,['acura'],"['performance', 'type', 'comfort']"
927,['polestar'],"['performance', 'comfort', 'purchase']"
928,['cadillac'],"['purchase', 'performance', 'type']"
929,['bmw'],"['purchase', 'performance']"
933,"['lexus', 'audi']","['purchase', 'performance', 'type']"
936,"['bmw', 'cadillac']","['type', 'car parts']"
937,"['lexus', 'acura']","['performance', 'purchase']"
940,['polestar'],['performance']
941,['bmw'],['performance']
944,"['bmw', 'honda', 'acura']","['purchase', 'performance']"
945,['infiniti'],"['purchase', 'performance']"
