"habitat1","September 2007"," The car doesn't appeal to me for a number of reasons (size, weight, bling factor), but I respect that it doesn't try to beat BMW at their own game. It's not a matter of beating BMW at their own game.It is a matter of putting out a seriously competent competitor, however they decide to position it relative to the other competiotrs. The Corvette is one of the least likely cars to ever make it into my garage, over a 911 or 430. But I respect that, for what it does, it is a very competent car. Cadillac has never, and still doesn't, garnish any of the same respect.I would also respectfully suggest that, before you extrapolate what ""Americans"" want, if the new CTS were built by a Japanese company, they would likely sell about 5 in the entire U.S. I think without the ""buy American"" loyalty, GM would have been completely bankrupt a decade ago. "
"kdshapiro","September 2007"," ""I think without the ""buy American"" loyalty,""I clearly have a buy American loyalty and would if:1. I could find a product that was made, designed and built 100% in America by Americans, in companies headquartered in America (not saying companies can't import raw materials not found in the US)2. Product is as good and hopefully better as non-American products,3. Cost is competitive.In general, sadly the ""Made In America"" moniker has been reduced to meaning the ""Made In America"" stamp is stamped in America. "
"fedlawman","September 2007"," ""It is a matter of putting out a seriously competent competitor, however they decide to position it relative to the other competiotrs.""I respect your opinion, but I find it hard to believe that the new CTS is as inferior in design and performance as you say it is. Since I haven't seen or driven it for myself yet, I will not confirm or refute your opinions until I do.""I would also respectfully suggest that, before you extrapolate what ""Americans"" want, if the new CTS were built by a Japanese company, they would likely sell about 5 in the entire U.S.""I disagree. Again, without commenting on the performance of the CTS (since I have not driven it), I think Toyota is a great example of a Japanese company building cars that Americans want. I cringe every time I see a Solara - or how about the Solara GT I saw a middle-aged man driving the other day!""I think without the ""buy American"" loyalty, GM would have been completely bankrupt a decade ago.""I think it's GM's pricing structure and incentives that have sold their cars, not brand loyalty. But today, I see GM finally making real progress with Cadillac, Saturn, and GMC/Chevy trucks.Only time will tell - and I'll try to check out the CTS this weekend and report back with my opinion. "
"designman","September 2007"," I expect to see this label soon:Outsourced in America "
"markcincinnati","September 2007"," I do like the CTS, I will certainly consider one in early 2008, assuming they (GM) offer discounts and subvented leases as they have done time and again.At the MSRP ""as I would configure"" the CTS, it is a fine car but -- other than fit and finish and its styling -- it ""seems to be as current as many of the other guys were putting out in the second half of 2004.""For a typical second or third quarter GM discount, however, it will be attractive even to someone like me who thinks it is not exactly leading edge (although the DI engine seems very fine, indeed.)On the issue of voice activation -- I have a current gen Audi A6. It has 82 buttons, knobs, switches, dials, gauges and/or controls (not including my phone.) I have the in-armrest mounted phone dock AND the thing has bluetooth. I rarely, due to the the in armrest cradle, activate bluetooth -- but I use the voice control for the audio, nav and telephone system -- almost literally every time I get into the car.I consider it a safety feature.Were a vote be presented to the voters of the US, I would, uncharacteristically, vote to ban the use of a cell phone in a car that was not entirely voice controlled (hand and eyes free.)When I am driving, I often look at the other drivers on the road; I see the majority of them on the phone (driving with one hand and I assume one eye on the road and controls.)Much as I want ""you"" to have the personal freedom to kill yourself by using a phone while driving (if that is your goal), I just don't want to be on the highway with you.Much as I want (well, maybe) more knobs and buttons and dials and gizmos to be confronting me whilst I am behind the wheel, it is getting to the point that it is distracting to change the channel (and find other controls in the sea of buttons) without voice command.My wife's 2005 BMW does not need voice command. The new CTS is populated with buttons, dials, rotary switches -- a virtual maze of controls. Just tell your car what you want it to do, or ""pull over"" -- folks don't want to pull over and voice command is becoming (or in the case of the Germans, already has become) a virtual safety option.At age 56, I may be a yuppie. Beats me. "
"jwaggoner","September 2007"," Has anyone sat in a 1 series yet? Im 6'1 and just wondering if i can fit in this car. What about passenger space? "
"pat","September 2007"," We are not here to talk about other members as you all well know.Is the 1-Series out now? I didn't know that if it is. "
"sevenfeet0","September 2007"," Agreed. This forum is supposed to be about things that most of us enjoy as a passtime, or certainly a drivetime. Manufacturers compete for our dollars fiercely in this space and like most things concerning marketing, most of us are conditioned to preferences after a while, even decending into ""fanboyism"". I admit it, I have preferences with certain brands over others. But I want all of them to deliver the best product possible since it's impossible for the products from one brand to satisfy everyone. After all, if everyone just bought ""your favorite brand"", it would be a pretty boring place.Regarding the two brands at issue here, Cadillac has been going down this ""Europeanism"" trend for a long time before the CTS, often with lousy results. I can remember the 1976 Seville, the 1982 Cimarron, the 1989 Allante and the 1997 Catera as examples. Cadillac has had the unenvyable position of trying to rewrite their DNA for decades now, which isn't easy. Even with Bob Lutz at the helm, a former GM engine manager once told me that GM's corporate culture doesn't do much to reward risk...in fact, the company (and especially Cadillac) got very risk averse over the last 30 years. Witness the 1981 V8-6-4 engine failure, the 1982 Cimarron, the 1989 Allante and Catera projects all made Caddy very adverse making the product decisions they need to make.Constrast that with BMW. The BMW we all know really got off the ground in the early '70s with the first 2002s. Originally in the shadow of Mercedes and Audi, they made their mark with great handling sedans and coupes that were contrary to what most American buyers were used to seeing. Were all these products successful? Not a chance. The 320 program of the early '80s (especially the 320e) weren't home run hits. The 12-cylinder 850s lanquished on dealer lots and recent models were fiercely criticized for Bangle styling and iDrive. But the path to where BMW is now has been fairly straightforward to the point where they command many of the segments they compete in.In business, it's interesting to watch the players that do most everything right but its far more fun and educational to see the ones that were once powerful fall from grace and claw themselves back to relevance. Apple Computer is a classic example. Cadillac is trying to do the same thing (against bigger odds in my opinion). What happens next? Who knows? But the marketplace will decide. "
"cdnpinhead","September 2007"," "". . .the 1976 Seville, the 1982 Cimarron, the 1989 Allante and the 1997 Catera. . .""I was around for all of these, but only paid attention to the Catera. Prior to that, I was driving sports cars & wouldn't have been caught dead in a Cadillac.Now, I'm not so sure. "
"circlew","September 2007"," I was driving sports cars & wouldn't have been caught dead in a Cadillac.Now, I'm not so sure.That's a fair statement. But you would be caught behind in one! At lease for now.I back up that view since there is no better performing car offered by GM/Chryler/Ford compared to the 3 series in the sedan class, IMO. And I will admit I always considered the E36/46 were to small for my tastes predominantly because I was used to U.S. market fare. I believed the Buy America was the way to go until it made little sense at the end of the day. I was surprised at the weight of my 330 considering the compact designation, however. I guess BMW compromised from the original design strategy. But the suspension still is to die for. I could care less for the perceived image factor. You could slice off the roundel and it would still be in my garage.I agree it is fun to see what the ""Hurtin' Three"" will do to put the train back on the tracks. The Camaro and Challenger coming back from the dead will be interesting. For GM, Cadillac needs a heck of a lot more work to do. Buick/Pontiac is on life support and the prognosis is NOT good. Chevy holds their own as does GMC for the small car/Trucks. Imagine if pick-ups loose huge sales. What then?Ford???? I guess the plug has been pulled but the body is not cold yet.It would be nice to see all three come back but I won't hold my breath. Lot's of changes still need to be made. The competition is killing them all.Regards,OW "
